OrgName,Cities,ST,AnyAMT,AnyAMTDate
Central Progressive ,Lacombe,LA,19657,1/6/14
Polk  ,Johnston,IA,14194,1/6/14
   Rockmart,Rockmart,GA,57860,12/29/13
SunFirst ,Saint George,UT,57087,12/23/13
Mid   ,Omaha,NE,19397,12/23/13
All American ,Des Plaines,IL,57759,12/16/13
 s  Colado,Greenwood Village,CO,21132,12/9/13
 Capital ,Jonesboro,GA,57036,12/9/13
Decatur First ,Decatur,GA,34392,12/9/13
Old Harb ,Clearwater,FL,57537,12/9/13
Country ,Aledo,IL,35395,12/2/13
First  ,Cranford,NJ,58046,12/2/13
Blue Ridge Savings  ,Asheville,NC,32347,12/2/13
Piedmont  ,Gray,GA,57256,12/2/13
Sun Security ,Ellington,MO,20115,11/25/13
 River,Wyoming,MN,10216,11/25/13
First International ,Plano,TX,33513,11/18/13
s   Nrn Calinia,Nevada City,CA,33983,11/11/13
   Commonwealth,Norfolk,VA,20408,11/11/13
 First National   Flida,Milton,FL,25155,10/28/13
CreekSide ,Woodstock,GA,58226,10/21/13
Patriot   Gegia,Cumming,GA,58273,10/21/13
First Choice ,Geneva,IL,57212,10/7/13
First Sourn National ,Statesboro,GA,57239,10/7/13
Lydian Private ,Palm Beach,FL,35356,10/7/13
Public Savings ,Huntingdon Valley,PA,34130,10/6/13
 First National   Ola,Olathe,KS,4744,9/30/13
  Whitman,Colfax,WA,22528,9/23/13
  Shewood,Shorewood,IL,22637,9/23/13
Integra  National Association,Evansville,IN,4392,9/16/13
Meridian N.A.,Columbia,SC,58222,9/16/13
Virginia Business ,Richmond,VA,58283,9/16/13
  Choice,Greeley,CO,2994,9/9/13
LMark   Flida,Sarasota,FL,35244,9/9/13
Southshe  ,Apollo Beach,FL,58056,9/9/13
Summit ,Prescott,AZ,57442,9/2/13
First Peoples ,Port St. Lucie,FL,34870,9/2/13
High Trust ,Stockbridge,GA,19554,9/2/13
One Gegia ,Atlanta,GA,58238,9/2/13
Signature ,Windsor,CO,57835,8/26/13
Colado Capital ,Castle Rock,CO,34522,8/26/13
First Chicago  &amp; Trust,Chicago,IL,27935,8/26/13
Mountain Heritage ,Clayton,GA,57593,8/12/13
First    Tampa Bay,Tampa,FL,27583,8/5/13
McIntosh  ,Jackson,GA,19237,8/5/13
Atlantic   Trust,Charleston,SC,58420,7/22/13
First Heritage ,Snohomish,WA,23626,7/15/13
Summit ,Burlington,WA,513,7/8/13
First Gegia ing ,Franklin,GA,57647,7/8/13
Atlantic Sourn ,Macon,GA,57213,7/8/13
Coastal ,Cocoa Beach,FL,34898,6/24/13
 Central ,Mount Clemens,MI,34234,6/17/13
 Park Avenue ,Valdosta,GA,19797,6/17/13
First Choice  ,Dallas,GA,58539,6/17/13
Ctez  ,Brooksville,FL,57625,6/17/13
First National   Central Flida,Winter Park,FL,26297,6/17/13
Heritage ing Group,Carthage,MS,14273,6/3/13
Rosemount National ,Rosemount,MN,24099,6/3/13
Superi ,Birmingham,AL,17750,6/3/13
Nexity ,Birmingham,AL,19794,6/3/13
New Hizons ,East Ellijay,GA,57705,6/3/13
Bartow  ,Cartersville,GA,21495,6/3/13
Nevada  ,Las Vegas,NV,35418,5/27/13
Western Springs National   Trust,Western Springs,IL,10086,5/27/13
ABC's,Wood Dale,IL,34292,5/13/13
Legacy ,Milwaukee,WI,34818,4/29/13
First National ,Davis,OK,4077,4/29/13
Valley  ,St. Charles,IL,34187,4/15/13
San Luis Trust  FSB,San Luis Obispo,CA,34783,4/8/13
Charter Oak ,Napa,CA,57855,4/8/13
s   Effingham,Springfield,GA,34601,4/8/13
Habersham ,Clarkesville,GA,151,4/8/13
Canyon National ,Palm Springs,CA,34692,4/1/13
Badger  ,Cassville,WI,13272,4/1/13
Peoples  ,Hamtramck,MI,14939,4/1/13
Sunshine   ,Port Orange,FL,35478,4/1/13
 First  Chicago,Chicago,IL,57948,3/25/13
Nth Gegia ,Watkinsville,GA,35242,3/25/13
American Trust ,Roswell,GA,57432,3/25/13
First  ,Taos,NM,12261,3/18/13
FirsTier ,Louisville,CO,57646,3/18/13
Evergreen  ,Stoughton,WI,5328,3/18/13
 First  ,Camargo,OK,2303,3/18/13
United Western ,Denver,CO,31293,3/11/13
   Asheville,Asheville,NC,34516,3/11/13
South  &amp; Trust,Easley,SC,57868,3/11/13
Enterprise ing ,McDonough,GA,19758,3/11/13
Oglethpe ,Brunswick,GA,57440,3/4/13
Legacy ,Scottsdale,AZ,57820,2/25/13
First    Flida,Orlando,FL,34965,2/25/13
 National ,Lino Lakes,MN,23306,2/4/13
First Sourn ,Batesville,AR,58052,2/4/13
United Americas  N.A.,Atlanta,GA,35065,2/4/13
Appalachian   FSB,McCaysville,GA,58495,2/4/13
Chee  ,Dawsonville,GA,34578,2/4/13
   MiamiN.A.,Coral Gables,FL,19040,2/4/13
Earthstar ,Southampton,PA,35561,1/28/13
Paramount ,Farmington Hills,MI,34673,1/28/13
First ing Center,Burlington,WI,5287,1/7/13
Allegiance   Nth America,Bala Cynwyd,PA,35078,1/7/13
Gulf   ,Carrabelle,FL,20340,1/7/13
Copper Star ,Scottsdale,AZ,35463,12/31/12
Darby  &amp; Trust Co.,Vidalia,GA,14580,12/31/12
Tifton ing ,Tifton,GA,57831,12/31/12
First Vietnamese American ,Westminster,CA,57885,12/24/12
Pierce  ,Tacoma,WA,34411,12/24/12
Western  ,Woodland Hills,CA,58087,12/24/12
K ,Randallstown,MD,31263,12/24/12
First Arizona Savings A FSB,Scottsdale,AZ,32582,12/10/12
Hillcrest ,Overland Park,KS,22173,12/10/12
First Suburban National ,Maywood,IL,16089,12/10/12
 First National   Barnesville,Barnesville,GA,2119,12/10/12
 Gdon ,Gordon,GA,33904,12/10/12
Progress   Flida,Tampa,FL,32251,12/10/12
First   Jacksonville,Jacksonville,FL,27573,12/10/12
Premier ,Jefferson City,MO,34016,12/3/12
WestBridge   Trust ,Chesterfield,MO,58205,12/3/12
Security Savings  F.S.B.,Olathe,KS,30898,12/3/12
Sheline ,Shoreline,WA,35250,11/19/12
Wakulla ,Crawfordville,FL,21777,11/19/12
Nth  ,Arlington,WA,35053,11/12/12
Haven Trust  Flida,Ponte Vedra Beach,FL,58308,11/12/12
Maritime Savings ,West Allis,WI,28612,11/5/12
Bramble Savings ,Milford,OH,27808,11/5/12
 Peoples ,Winder,GA,182,11/5/12
First   ,Douglasville,GA,57448,11/5/12
  Ellijay,Ellijay,GA,58197,11/5/12
ISN ,Cherry Hill,NJ,57107,11/5/12
Hizon ,Bradenton,FL,35061,10/29/12
Sonoma Valley ,Sonoma,CA,27259,10/8/12
Los Padres ,Solvang,CA,32165,10/8/12
Butte  ,Chico,CA,33219,10/8/12
Pacific  ,Stockton,CA,27090,10/8/12
She,Chicago,IL,15640,10/8/12
Imperial Savings  Loan Association,Martinsville,VA,31623,10/8/12
Independent National ,Ocala,FL,27344,10/8/12
 National  at Bartow,Bartow,FL,25266,10/8/12
Palos   Trust ,Palos Heights,IL,17599,10/1/12
Ravenswood ,Chicago,IL,34231,9/24/12
Liberty,Eugene,OR,31964,9/17/12
 Cowlitz ,Longview,WA,22643,9/17/12
Coastal  ,Panama City Beach,FL,9619,9/17/12
Bayside Savings ,Port Saint Joe,FL,57669,9/17/12
Nthwest  &amp; Trust,Acworth,GA,57658,9/17/12
Home Valley ,Cave Junction,OR,23181,9/10/12
SouthwestUSA ,Las Vegas,NV,35434,9/10/12
 Security ,New Prague,MN,34486,9/10/12
Thunder ,Sylvan Grove,KS,10506,9/10/12
Williamsburg First National ,Kingstree,SC,17837,9/10/12
Crescent   Trust ,Jasper,GA,27559,9/10/12
Sterling ,Lantana,FL,32536,9/10/12
Mainstreet Savings  FSB,Hastings,MI,28136,9/3/12
