OrgName,Cities,ST,AnyAMT,AnyAMTDate
Sourn Pacific ,Torrance,CA,27094,3/28/05
Farmers   Cheneyville,Cheneyville,LA,16445,2/4/05
  Alamo,Alamo,TN,9961,12/27/04
AmTrade International ,Atlanta,GA,33784,11/18/04
Universal  Savings ,Chicago,IL,29355,8/15/04
Connecticut   ,Stamford,CT,19183,8/14/04
New Century ,Shelby Township,MI,34979,5/16/04
Net 1st National ,Boca Raton,FL,26652,4/19/04
Next NA,Phoenix,AZ,22314,3/28/04
Oakwood Deposit  Co.,Oakwood,OH,8966,3/22/04
  Sierra Blanca,Sierra Blanca,TX,22002,3/8/04
Hamilton  NA,Miami,FL,24382,3/1/04
Sinclair National ,Gravette,AR,34248,10/27/03
Superi  FSB,Hinsdale,IL,32646,9/15/03
Malta National ,Malta,OH,6629,6/22/03
First Alliance  &amp; Trust Co.,Manchester,NH,34264,3/24/03
National    Metropolis,Metropolis,IL,3815,2/2/03
  Honolulu,Honolulu,HI,21029,12/2/02
